Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00019555,-5.8876E-06,-0.0016409,0,0,0,1.5013,0.002447,0,0,0.0016369,0,0.0026461,0,0,0,0,0,0,package://kubot23W/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/base_link.STL,,bodyP-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_Hip_yaw,0.0079905,7.3552E-16,0.037856,0,0,0,0.042373,2.0934E-05,0,0,2.3301E-05,0,8.0568E-06,0,0,0,0,0,0,package://kubot23W/meshes/L_Hip_yaw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/L_Hip_yaw.STL,,LP-1,좌표계2,기준축1,L_Hip_yaw_joint,revolute,0.036475,0.052758,-0.13016,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L_Hip_roll,-0.026534,3.8609E-05,-0.015186,0,0,0,0.16184,5.7094E-05,0,0,5.6447E-05,0,3.5594E-05,0,0,0,0,0,0,package://kubot23W/meshes/L_Hip_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/L_Hip_roll.STL,,LPm-1,좌표계2,기준축2,L_Hip_roll_joint,revolute,0,0,0,0,0,0,L_Hip_yaw,-1,0,0,0,0,0,0,,,,,,,,
L_Hip_pitch,-0.00049308,0.00014975,-0.10339,0,0,0,0.13309,0.00010704,0,0,7.9626E-05,0,5.4203E-05,0,0,0,0,0,0,package://kubot23W/meshes/L_Hip_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/L_Hip_pitch.STL,,LPd-1,좌표계2,기준축3,L_Hip_pitch_joint,revolute,0,0,0,0,0,0,L_Hip_roll,0,-1,0,0,0,0,0,,,,,,,,
L_Knee,-0.0008,0.0002,-0.071592,0,0,0,0.064192,0.00017283,0,0,0.00013756,0,5.3025E-05,0,0,0,0,0,0,package://kubot23W/meshes/L_Knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/L_Knee.STL,,LK-1,좌표계3,기준축4,L_Knee_joint,revolute,0,0,-0.142,0,0,0,L_Hip_pitch,0,-1,0,0,0,0,0,,,,,,,,
L_Ankle_pitch,-0.023428,0.00014947,0.013986,0,0,0,0.202,8.0067E-05,0,0,7.8271E-05,0,4.9146E-05,0,0,0,0,0,0,package://kubot23W/meshes/L_Ankle_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/L_Ankle_pitch.STL,,LA2-1,좌표계4,기준축5,L_Ankle_pitch_joint,revolute,0,0,-0.15,0,0,0,L_Knee,0,-1,0,0,0,0,0,,,,,,,,
L_Ankle_roll,-0.028824,0.0001,-0.014117,0,0,0,0.010759,3.5206E-06,0,0,2.4389E-06,0,1.2851E-06,0,0,0,0,0,0,package://kubot23W/meshes/L_Ankle_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/L_Ankle_roll.STL,,LF2-1,좌표계4,기준축6,L_Ankle_roll_joint,revolute,0,0,0,0,0,0,L_Ankle_pitch,-1,0,0,0,0,0,0,,,,,,,,
L_Foot,0.0059202,0.012819,0.0039506,0,0,0,0.12872,0.00013117,0,0,0.00029696,0,0.00042612,0,0,0,0,0,0,package://kubot23W/meshes/L_Foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/L_Foot.STL,,LS-1,좌표계5,기준축1,L_Foot_joint,revolute,0,0,-0.042,0,0,0,L_Ankle_roll,0,0,1,0,0,0,0,,,,,,,,
R_Hip_yaw,0.0079905,-7.6661E-09,0.037856,0,0,0,0.042373,2.0934E-05,0,0,2.3301E-05,0,8.0568E-06,0,0,0,0,0,0,package://kubot23W/meshes/R_Hip_yaw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/R_Hip_yaw.STL,,RP-1,좌표계6,기준축7,R_Hip_yaw_joint,revolute,0.036475,-0.051842,-0.13016,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R_Hip_roll,-0.026534,-3.8626E-05,-0.015186,0,0,0,0.16184,5.7094E-05,0,0,5.6447E-05,0,3.5594E-05,0,0,0,0,0,0,package://kubot23W/meshes/R_Hip_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot23W/meshes/R_Hip_roll.STL,,RPm-1,좌표계6,기준축8,R_Hip_roll_joint,revolute,0,0,0,0,0,0,R_Hip_yaw,-1,0,0,0,0,0,0,,,,,,,,
